School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
Texas,0.627906976744186,?,OLB,0.5833333333333334,0.4594594594594595,Emmanuel Acho\AchoEm00,0.6875,0.375,College Stats,0.23972602739726004,?,6th
Ohio State,0.3023255813953488,0.8372093023255813,OT,1.0,0.32432432432432434,Mike Adams\AdamMi02,0.3125,0.8579545454545454,,0.6780821917808221,0.8606557377049181,2nd
Arkansas,0.6511627906976745,0.34302325581395327,WR,0.3333333333333333,?,Joe Adams\AdamJo01,0.7916666666666666,0.03977272727272727,College Stats,0.15068493150684914,?,4th
Pittsburgh,0.16279069767441862,0.7209302325581394,DT,0.75,0.32432432432432434,Chas Alecxih\AlecCh00,0.2916666666666667,0.7045454545454546,College Stats,0.698630136986301,0.5901639344262296,0
Oklahoma,?,?,DE,0.75,?,Frank Alexander\AlexFr00,?,0.5568181818181818,College Stats,0.3493150684931505,?,4th
Illinois,0.2558139534883721,0.8779069767441856,OT,0.75,0.5135135135135135,Jeff Allen\AlleJe01,0.3541666666666667,0.7670454545454546,College Stats,0.6027397260273972,0.8196721311475412,2nd
Clemson,0.46511627906976744,0.3604651162790697,TE,0.6666666666666666,0.5405405405405406,Dwayne Allen\AlleDw00,0.5208333333333334,0.4715909090909091,College Stats,0.3835616438356162,0.38524590163934436,3rd
South Carolina,0.5581395348837209,0.3023255813953485,SS,0.5,0.2702702702702703,Antonio Allen\AlleAn02,0.6875,0.2159090909090909,College Stats,0.1986301369863014,0.2868852459016394,7th
Georgia,0.23255813953488372,0.8953488372093015,OT,0.75,0.6756756756756757,Justin Anderson\AndeJu00,0.3333333333333333,0.9261363636363636,,0.6506849315068495,0.8934426229508198,7th
California,?,?,P,0.75,?,Bryan Anger\AngeBr00,?,0.20454545454545456,College Stats,0.3904109589041098,?,3rd
Oregon,?,?,OG,0.9166666666666666,0.43243243243243246,Mark Asper\AspeMa00,?,0.8352272727272727,College Stats,0.7054794520547947,?,6th
LSU,0.5581395348837209,0.41279069767441845,OLB,0.3333333333333333,0.6216216216216216,Ryan Baker,0.5833333333333334,0.3409090909090909,College Stats,0.3493150684931505,0.3688524590163932,0
Michigan State,0.6046511627906976,0.44767441860465074,RB,0.08333333333333333,0.35135135135135137,Edwin Baker\BakeEd01,0.5416666666666666,0.18181818181818182,College Stats,0.1027397260273975,0.3360655737704915,7th
Nevada,0.6511627906976745,0.34883720930232526,RB,0.08333333333333333,0.3783783783783784,Mike Ball,0.5625,0.19318181818181818,College Stats,0.17123287671232876,0.2704918032786889,0
Mississippi State,0.5116279069767442,0.308139534883721,RB,0.25,0.43243243243243246,Vick Ballard\BallVi00,0.625,0.26704545454545453,College Stats,0.2054794520547944,0.23770491803278723,5th
