School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
Nebraska,0.9090909090909091,0.10778443113772444,RB,0.15384615384615385,0.5666666666666667,Ameer Abdullah\AbduAm00,0.7301587301587301,0.24623115577889448,College Stats,0.21917808219178042,0.09774436090225586,2nd
Southern California,?,?,WR,0.38461538461538464,0.16666666666666666,Nelson Agholor\AghoNe00,?,0.21105527638190955,College Stats,0.0958904109589039,?,1st
Boise State,0.7818181818181819,0.29341317365269437,RB,0.38461538461538464,0.4,Jay Ajayi\AjayJa00,0.5873015873015873,0.32663316582914576,College Stats,0.1986301369863014,0.21052631578947345,5th
LSU,0.6727272727272727,0.3173652694610776,OLB,0.46153846153846156,0.5666666666666667,Kwon Alexander\AlexKw00,0.5873015873015873,0.35678391959798994,College Stats,0.18493150684931478,0.28571428571428586,4th
West Virginia,0.6,0.017964071856287053,WR,0.07692307692307693,0.2,Mario Alford\AlfoMa00,0.5873015873015873,0.12060301507537688,College Stats,0.1027397260273969,0.18796992481203034,7th
Southern California,0.6545454545454545,0.2095808383233532,RB,0.38461538461538464,0.13333333333333333,Javorius Allen\AlleJa01,0.5873015873015873,0.32663316582914576,College Stats,0.17123287671232876,0.3458646616541355,4th
Penn State,0.6545454545454545,0.2874251497005987,FS,0.38461538461538464,?,Adrian Amos\AmosAd00,0.6031746031746031,0.31155778894472363,College Stats,0.1917808219178078,0.1578947368421055,5th
South Carolina,?,?,TE,0.7692307692307693,?,Rory Anderson\AndeRo01,?,0.44221105527638194,College Stats,0.3082191780821919,?,7th
Stanford,0.45454545454545453,0.3532934131736528,DE,0.8461538461538461,?,Henry Anderson\AndeHe00,0.42857142857142855,0.6934673366834171,College Stats,0.47260273972602707,0.27819548872180483,3rd
Utah,?,?,WR,0.46153846153846156,0.2,Dres Anderson\AndeDr00,?,0.15577889447236182,College Stats,0.17808219178082177,?,0
Clemson,0.7090909090909091,0.2754491017964073,ILB,0.6153846153846154,0.5333333333333333,Stephone Anthony\AnthSt00,0.6031746031746031,0.4371859296482412,College Stats,0.1917808219178078,0.1578947368421055,1st
Oregon,0.6,0.5748502994011979,DE,0.9230769230769231,0.5666666666666667,Arik Armstead\ArmsAr01,0.5238095238095238,0.6834170854271356,College Stats,0.5342465753424653,0.5338345864661656,1st
Auburn,0.6909090909090909,0.31137724550898194,RB,0.23076923076923078,?,Cameron Artis-Payne\ArtiCa00,0.5396825396825397,0.2814070351758794,College Stats,0.17123287671232876,?,5th
Florida,?,?,OLB,0.5384615384615384,0.5,Neiron Ball\BallNe00,?,0.4020100502512563,College Stats,0.25342465753424664,?,5th
Clemson,?,?,DE,0.6923076923076923,0.5,Tavaris Barnes\BarnTa00,?,0.6331658291457286,College Stats,0.35616438356164354,?,0
North Carolina State,?,?,P,0.8461538461538461,?,Will Baumann,?,0.15577889447236182,,0.5890410958904105,?,0
Clemson,0.8545454545454545,0.17964071856287425,OLB,0.6153846153846154,0.9333333333333333,Vic Beasley\BeasVi00,0.7301587301587301,0.45226130653266333,College Stats,0.17123287671232876,0.24812030075188,1st
Nebraska,0.8727272727272727,0.029940119760478952,WR,0.46153846153846156,0.0,Kenny Bell\BellKe02,0.7142857142857143,0.20603015075376885,College Stats,0.0958904109589039,0.24812030075188,5th
Oklahoma,0.5636363636363636,0.1437125748502991,TE,0.8461538461538461,0.23333333333333334,Blake Bell\BellBl00,0.5079365079365079,0.4824120603015075,College Stats,0.35616438356164354,0.37593984962406035,4th
Ohio State,?,?,DT,0.5384615384615384,?,Mike Bennett\BennMi01,?,0.6884422110552764,College Stats,0.5205479452054793,?,6th
Southeastern Louisiana,0.7090909090909091,0.31137724550898194,QB,0.5384615384615384,?,Bryan Bennett,0.6507936507936508,0.27638190954773867,,0.36301369863013655,0.28571428571428586,0
Iowa State,?,?,TE,0.5384615384615384,0.43333333333333335,E.J. Bibbs\BibbE.00,?,0.5125628140703518,College Stats,0.4109589041095888,?,0
Auburn,0.4909090909090909,0.532934131736527,DT,0.6923076923076923,0.43333333333333335,Angelo Blackson\BlacAn00,0.2698412698412698,0.8140703517587939,College Stats,0.5068493150684927,0.5639097744360904,4th
