School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
Wisconsin,0.46511627906976744,0.18131868131868142,WR,0.46153846153846156,0.0,Jared Abbrederis\AbbrJa00,0.6304347826086957,0.1693121693121693,College Stats,0.18045112781954903,0.2,5th
Fresno State,0.8837209302325582,0.19230769230769265,WR,0.46153846153846156,0.2631578947368421,Davante Adams\AdamDa01,0.7608695652173914,0.25925925925925924,College Stats,0.22556390977443594,0.36296296296296277,2nd
Utah State,0.813953488372093,0.3186813186813188,SS,0.46153846153846156,?,Mo Alexander\AlexMa00,0.7608695652173914,0.30158730158730157,College Stats,0.18045112781954903,0.5185185185185183,4th
Purdue,0.6976744186046512,?,CB,0.15384615384615385,0.23684210526315788,Ricardo Allen\AlleRi00,0.6304347826086957,0.12698412698412698,College Stats,0.2631578947368425,0.25185185185185205,5th
Texas Tech,0.5813953488372093,0.5219780219780222,TE,0.7692307692307693,0.631578947368421,Jace Amaro\AmarJa00,0.6521739130434783,0.5396825396825397,College Stats,0.36090225563909806,0.36296296296296277,2nd
Western Kentucky,0.4186046511627907,0.42307692307692346,RB,0.23076923076923078,0.42105263157894735,Antonio Andrews\AndrAn00,0.391304347826087,0.328042328042328,College Stats,0.42105263157894773,0.5037037037037038,0
Kent State,0.813953488372093,0.21428571428571466,WR,0.07692307692307693,0.42105263157894735,Dri Archer\ArchDr00,0.7391304347826086,0.05291005291005291,College Stats,0.0,0.18518518518518484,3rd
Grand Valley State,?,?,C,0.5384615384615384,?,Matt Armstrong,?,0.7354497354497355,,0.6917293233082706,?,0
Notre Dame,0.813953488372093,0.32967032967033005,RB,0.46153846153846156,0.39473684210526316,George Atkinson\AtkiGe01,0.717391304347826,0.291005291005291,,0.16541353383458693,0.4814814814814814,0
Georgia Tech,?,?,OLB,0.6153846153846154,?,Jeremiah Attaochu\AttaJe00,?,0.4708994708994709,College Stats,?,?,2nd
Southern California,0.627906976744186,0.2747252747252748,FS,0.38461538461538464,?,Dion Bailey\BailDi00,0.5434782608695652,0.20105820105820105,College Stats,0.3007518796992484,0.25185185185185205,0
UCLA,0.6511627906976745,0.19230769230769265,OLB,0.7692307692307693,0.2894736842105263,Anthony Barr\BarrAn00,0.6739130434782609,0.48677248677248675,College Stats,0.3007518796992484,0.2814814814814817,1st
LSU,0.6744186046511628,0.42307692307692346,ILB,0.46153846153846156,0.47368421052631576,Lamin Barrow\BarrLa00,0.7608695652173914,0.3915343915343915,College Stats,0.28571428571428564,0.3999999999999997,5th
