School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
Boston College,0.41304347826086957,0.09134615384615404,OLB,0.5,0.2727272727272727,Kevin Akins,0.6842105263157895,0.24742268041237114,College Stats,0.3385826771653547,0.13013698630137013,0
Missouri Western,?,?,OG,0.5833333333333334,?,Roger Allen\AlleRo20,?,0.8041237113402062,,0.748031496062992,?,0
Georgia,0.5652173913043478,0.16346153846153838,CB,0.08333333333333333,0.48484848484848486,Asher Allen\AlleAs99,0.6491228070175439,0.12371134020618557,College Stats,0.14173228346456734,0.23287671232876703,3rd
Wake Forest,0.41304347826086957,0.3028846153846153,ILB,0.3333333333333333,0.3939393939393939,Stanley Arnoux\ArnoSt99,0.7543859649122807,0.31958762886597936,College Stats,0.20472440944881864,0.29452054794520527,4th
Tennessee,0.32608695652173914,0.4663461538461537,DE,0.5833333333333334,0.36363636363636365,Robert Ayers\AyerRo99,0.42105263157894735,0.5257731958762887,College Stats,0.37007874015748,0.3767123287671232,1st
Hampton,0.5869565217391305,0.7067307692307695,DT,0.5,0.5454545454545454,Chris Baker,0.49122807017543857,0.8041237113402062,,0.503937007874016,0.6438356164383564,0
Cal Poly,0.5,?,WR,0.8333333333333334,0.3333333333333333,Ramses Barden\BardRa00,0.7017543859649122,0.30412371134020616,,0.16535433070866132,0.2054794520547944,3rd
Maryland,0.717391304347826,0.062499999999999944,CB,0.3333333333333333,?,Kevin Barnes\BarnKe99,0.8771929824561403,0.08762886597938144,College Stats,0.11811023622047268,0.0,3rd
Cincinnati,0.8043478260869565,0.13461538461538472,OLB,0.6666666666666666,0.45454545454545453,Connor Barwin\BarwCo99,0.8771929824561403,0.44329896907216493,College Stats,0.13385826771653533,0.15068493150684914,2nd
Texas Tech,0.5,0.4951923076923078,OT,0.8333333333333334,0.6363636363636364,Will Beatty\BeatWi20,0.5087719298245614,0.7061855670103093,College Stats,0.5984251968503933,0.554794520547945,2nd
Wisconsin,?,?,TE,0.5833333333333334,0.6666666666666666,Travis Beckum\BeckTr00,?,0.37628865979381443,College Stats,0.2440944881889767,?,3rd
