School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
South Florida,0.3958333333333333,0.21538461538461579,WR,0.4375,0.1,Rodney Adams\AdamRo01,0.68,0.11827956989247312,College Stats,0.13580246913580285,0.26174496644295314,5th
Auburn,0.375,0.5435897435897438,DT,0.625,0.5666666666666667,Montravius Adams\AdamMo00,0.34,0.7365591397849462,College Stats,0.40123456790123474,0.6711409395973152,3rd
LSU,0.4791666666666667,0.2051282051282053,SS,0.375,0.43333333333333335,Jamal Adams\AdamJa00,0.58,0.25268817204301075,College Stats,0.20987654320987645,0.16107382550335558,1st
Mississippi,0.6041666666666666,0.08717948717948759,WR,0.5625,0.1,Quincy Adeboyejo\AdebQu00,0.64,0.16129032258064516,College Stats,0.1234567901234569,0.1677852348993286,0
Alabama,0.4166666666666667,0.47692307692307717,DT,0.5625,0.5333333333333333,Jonathan Allen\AlleJo01,0.34,0.6397849462365591,College Stats,0.4814814814814816,0.4093959731543624,1st
Utah,0.6041666666666666,0.04102564102564106,CB,0.5625,0.3333333333333333,Brian Allen\AlleBr01,0.52,0.25806451612903225,College Stats,0.16049382716049423,0.3020134228187918,5th
Alabama,?,?,OLB,0.5,?,Ryan Anderson\AndeRy00,?,0.46236559139784944,College Stats,0.34567901234567927,?,2nd
Florida,0.4375,0.16410256410256424,OLB,0.5625,0.36666666666666664,Alex Anzalone\AnzaAl00,0.5,0.3978494623655914,College Stats,0.2530864197530865,0.2416107382550335,3rd
Utah,0.22916666666666666,0.6512820512820514,OG,0.5625,1.0,Isaac Asiata\AsiaIs00,0.22,0.8387096774193549,College Stats,0.6913580246913581,0.6979865771812079,5th
Charleston Southern,0.3125,0.8051282051282057,OG,0.5625,0.6333333333333333,Erik Austell,0.32,0.7204301075268817,,0.6234567901234571,0.6778523489932888,0
Colorado,0.6041666666666666,0.1282051282051282,CB,0.375,0.36666666666666664,Chidobe Awuzie\AwuzCh00,0.82,0.1881720430107527,College Stats,0.1296296296296296,0.1677852348993286,2nd
Arkansas,?,?,P,0.5625,?,Toby Baker\BakeTo01,?,0.23118279569892472,College Stats,?,?,0
Washington,0.5208333333333334,0.10256410256410264,FS,0.25,0.3333333333333333,Budda Baker\BakeBu00,0.48,0.15053763440860216,College Stats,0.14197530864197555,0.12751677852348992,2nd
Southern California,0.14583333333333334,0.8974358974358978,OG,0.875,0.5666666666666667,Zach Banner\BannZa00,0.02,1.0,College Stats,0.8395061728395063,0.8859060402684564,4th
Tennessee,0.4583333333333333,0.2051282051282053,DE,0.5625,?,Derek Barnett\BarnDe01,0.52,0.4946236559139785,College Stats,0.4074074074074075,0.36912751677852373,1st
Ohio,0.4791666666666667,0.36410256410256403,DE,0.625,0.3333333333333333,Tarell Basham\BashTa00,0.56,0.5483870967741935,College Stats,0.29629629629629656,0.3087248322147648,3rd
Iowa,0.4583333333333333,?,QB,0.5,?,C.J. Beathard\BeatC.00,0.44,0.27956989247311825,College Stats,?,?,3rd
LSU,?,?,ILB,0.5,0.5,Kendell Beckwith\BeckKe00,?,0.40860215053763443,College Stats,?,?,3rd
Wisconsin,0.5625,0.18461538461538476,OLB,0.5625,0.5333333333333333,Vince Biegel\BiegVi00,0.54,0.42473118279569894,College Stats,0.27777777777777785,0.27516778523489915,4th
Pittsburgh,0.3958333333333333,0.7487179487179486,OT,0.75,0.6,Adam Bisnowaty\BisnAd00,0.1,0.7365591397849462,College Stats,0.6234567901234571,0.7046979865771815,6th
Utah,0.3333333333333333,0.37435897435897453,OT,0.6875,?,Garrett Bolles\BollGa00,0.48,0.6989247311827957,College Stats,0.4506172839506175,0.44295302013422805,1st
Clemson,0.3958333333333333,0.23589743589743586,ILB,0.375,0.5,Ben Boulware\BoulBe00,0.4,0.3817204301075269,College Stats,?,0.3624161073825501,0
Eastern Washington,0.5833333333333334,0.08717948717948759,WR,0.4375,0.13333333333333333,Kendrick Bourne,0.68,0.1935483870967742,,0.2839506172839506,0.21476510067114088,0
LSU,0.4791666666666667,0.3282051282051285,OLB,0.6875,0.5,Tashawn Bower\BoweTa00,0.6,0.44623655913978494,College Stats,0.3703703703703707,0.32214765100671144,0
Houston,0.7291666666666666,0.09743589743589763,OLB,0.5625,0.5333333333333333,Tyus Bowser\BowsTy00,0.72,0.43010752688172044,College Stats,0.26543209876543244,?,2nd
Michigan,0.3333333333333333,0.6615384615384615,OG,0.75,0.6666666666666666,Ben Braden\BradBe00,0.22,0.8709677419354839,College Stats,0.506172839506173,0.6778523489932888,0
Florida,0.2916666666666667,0.5641025641025643,DT,0.5625,0.5333333333333333,Caleb Brantley\BranCa00,0.28,0.7526881720430108,College Stats,0.5679012345679012,0.48993288590604034,6th
Oregon,0.5833333333333334,?,TE,0.75,0.6333333333333333,Pharaoh Brown\BrowPh01,?,0.4731182795698925,College Stats,?,?,0
Ohio State,?,0.2615384615384619,WR,0.5,0.4666666666666667,Noah Brown\BrowNo00,?,0.2956989247311828,College Stats,?,0.2953020134228188,7th
UCLA,0.4791666666666667,?,ILB,0.375,0.4,Jayon Brown\BrowJa06,0.58,0.34408602150537637,College Stats,0.29629629629629656,?,5th
Mississippi,0.5833333333333334,0.348717948717949,DE,0.625,0.4666666666666667,Fadol Brown\BrowFa00,0.48,0.5698924731182796,College Stats,0.4444444444444448,0.36912751677852373,0
Ohio,0.7083333333333334,0.18461538461538476,ILB,0.3125,?,Blair Brown\BrowBl00,0.66,0.3817204301075269,College Stats,0.26543209876543244,0.19463087248322122,5th
Shepherd,0.375,?,TE,0.5625,0.6,Billy Brown,0.54,0.46774193548387094,,0.29629629629629656,?,0
San Diego State,0.3333333333333333,0.6871794871794875,OT,0.6875,0.4,Daniel Brunskill\BrunDa00,0.3,0.5698924731182796,College Stats,?,0.6375838926174496,0
Miami (OH),0.20833333333333334,?,OT,0.6875,0.6,Collin Buchanan\BuchCo00,0.12,0.8010752688172043,College Stats,?,?,0
Michigan State,0.4791666666666667,?,ILB,0.5,0.5,Riley Bullough\BullRi00,0.5,0.3172043010752688,College Stats,?,?,0
Georgia Tech,?,?,K,0.625,?,Harrison Butker\ButkHa00,?,0.17204301075268819,College Stats,?,?,7th
Michigan,?,?,TE,0.6875,?,Jake Butt\ButtJa00,?,0.42473118279569894,College Stats,?,?,5th
Baylor,0.7083333333333334,?,WR,0.3125,0.26666666666666666,K.D. Cannon,0.56,0.08064516129032258,College Stats,0.11728395061728418,?,0
Texas Christian,0.3958333333333333,0.3282051282051285,DE,0.5625,0.6666666666666666,Josh Carraway\CarrJo00,0.58,0.4032258064516129,College Stats,0.3209876543209879,0.36912751677852373,7th
Oklahoma State,0.7083333333333334,?,RB,0.375,0.6,Chris Carson\CarsCh00,0.78,0.27419354838709675,College Stats,0.2222222222222224,?,7th
Miami (FL),0.625,?,SS,0.4375,0.4666666666666667,Jamal Carter,0.62,0.27419354838709675,College Stats,0.2592592592592592,?,0
Nebraska,?,?,TE,0.5625,0.4666666666666667,Cethan Carter\CartCe00,?,0.3978494623655914,College Stats,0.2839506172839506,?,0
Michigan,0.5416666666666666,0.31282051282051293,DE,0.75,0.6666666666666666,Taco Charlton\CharTa00,0.5,0.5913978494623656,College Stats,0.43209876543209885,0.33557046979865746,1st
Michigan,0.6458333333333334,0.07179487179487208,WR,0.5625,0.16666666666666666,Jehu Chesson\ChesJe00,0.82,0.1989247311827957,College Stats,0.15432098765432098,0.13422818791946292,4th
Michigan,?,?,CB,0.5625,0.5,Jeremy Clark\ClarJe04,?,0.2849462365591398,College Stats,?,?,6th
Virginia Tech,0.5833333333333334,0.14871794871794872,FS,0.375,0.36666666666666664,Chuck Clark\ClarCh00,0.62,0.22043010752688172,College Stats,0.19753086419753102,0.12080536912751691,6th
Wisconsin,0.3541666666666667,?,RB,0.25,0.4666666666666667,Corey Clement\ClemCo00,0.48,0.2849462365591398,College Stats,0.2839506172839506,?,0
Illinois,?,?,DT,0.5,0.6,Chunky Clements,?,0.7204301075268817,College Stats,?,?,0
North Carolina A&T,0.4791666666666667,?,RB,0.0,0.2,Tarik Cohen,0.54,0.06451612903225806,,0.1234567901234569,?,0
