School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
Washington,?,?,WR,0.3076923076923077,?,Dante Pettis\PettDa00,?,0.06395348837209303,College Stats,?,?,2nd
Rutgers,?,?,EDGE,0.6923076923076923,?,Kemoko Turay\TuraKe00,?,0.45348837209302323,College Stats,0.21568627450980407,?,2nd
Notre Dame,?,?,RB,0.46153846153846156,0.3684210526315789,Josh Adams\AdamJo03,?,0.22093023255813954,College Stats,?,?,0
Toledo,0.5454545454545454,0.40969162995594693,EDGE,0.46153846153846156,0.5789473684210527,Ola Adeniyi,?,0.42441860465116277,,0.3333333333333333,0.23611111111111133,0
Central Florida,?,?,TE,0.5384615384615384,?,Jordan Akins\AkinJo00,?,0.43023255813953487,College Stats,?,?,3rd
Louisville,0.7045454545454546,0.18942731277533023,CB,0.23076923076923078,0.2631578947368421,Jaire Alexander\AlexJa00,0.8333333333333334,0.09883720930232558,College Stats,0.03921568627450957,0.027777777777777804,1st
Arkansas,0.45454545454545453,0.3964757709251098,QB,0.3076923076923077,?,Austin Allen,0.5555555555555556,0.20348837209302326,College Stats,0.3202614379084964,0.37500000000000033,0
Michigan St.,0.3181818181818182,0.6740088105726868,C,0.38461538461538464,0.6052631578947368,Brian Allen\AlleBr02,0.3148148148148148,0.7151162790697675,College Stats,0.6666666666666666,0.5347222222222222,4th
Wyoming,0.6363636363636364,0.27312775330396477,QB,0.6923076923076923,?,Josh Allen\AlleJo02,0.6851851851851852,0.36046511627906974,College Stats,0.2810457516339869,0.31944444444444475,1st
Penn St.,0.7954545454545454,?,S,0.46153846153846156,0.2894736842105263,Marcus Allen,0.8333333333333334,0.1569767441860465,College Stats,?,0.2638888888888891,0
Oklahoma,0.5227272727272727,0.46696035242290723,TE,0.6923076923076923,0.34210526315789475,Mark Andrews\AndrMa00,0.5740740740740741,0.47093023255813954,College Stats,0.22875816993464038,0.3055555555555555,3rd
Penn St.,0.9772727272727273,0.12334801762114507,S,0.46153846153846156,0.3157894736842105,Troy Apke,0.9074074074074074,0.13372093023255813,College Stats,0.013071895424836328,0.06250000000000021,0
Kansas,0.4772727272727273,0.370044052863436,EDGE,0.6153846153846154,0.42105263157894735,Dorance Armstrong,0.6666666666666666,0.47674418604651164,,0.3594771241830066,0.20138888888888923,0
Tulane,0.8636363636363636,0.5506607929515417,DE,0.7692307692307693,0.3684210526315789,Ade Aruna\ArunAd00,0.8518518518518519,0.5058139534883721,College Stats,0.18300653594771207,0.37500000000000033,6th
Oklahoma St.,0.6590909090909091,0.3480176211453744,WR,0.6153846153846154,0.23684210526315788,Marcell Ateman\AtemMa00,0.7222222222222222,0.23837209302325582,College Stats,0.196078431372549,0.21527777777777782,7th
Georgia,0.20454545454545456,0.7356828193832597,DT,0.6153846153846154,?,John Atkins,0.12962962962962962,0.8488372093023255,College Stats,0.6928104575163399,0.5625000000000001,0
Alabama,0.5454545454545454,0.2863436123348015,CB,0.3076923076923077,0.23684210526315788,Anthony Averett\AverAn00,0.6851851851851852,0.05813953488372093,College Stats,0.026143790849673238,0.31944444444444475,4th
Memphis,0.75,0.27312775330396477,ILB,0.38461538461538464,0.5789473684210527,Genard Avery,0.7777777777777778,0.42441860465116277,College Stats,0.1764705882352939,0.29166666666666696,0
Miami,?,?,K,0.15384615384615385,?,Mike Badgley,0.5370370370370371,0.046511627906976744,,0.40522875816993487,?,0
Ohio St.,0.7727272727272727,?,OLB,0.38461538461538464,0.47368421052631576,Jerome Baker\BakeJe00,0.8148148148148148,0.313953488372093,College Stats,0.13725490196078435,?,3rd
Arizona State,0.6363636363636364,0.277533039647577,RB,0.38461538461538464,0.2894736842105263,Kalen Ballage\BallKa00,0.7407407407407407,0.3081395348837209,College Stats,0.09150326797385604,0.28472222222222204,4th
Penn St.,0.9772727272727273,?,RB,0.3076923076923077,0.6578947368421053,Saquon Barkley\BarkSa00,?,0.3372093023255814,College Stats,0.052287581699346476,0.20833333333333354,1st
Ohio St.,0.4772727272727273,0.4845814977973566,QB,0.38461538461538464,?,J.T. Barrett\BarrJ.00,0.48148148148148145,0.28488372093023256,College Stats,0.24836601307189546,0.34722222222222254,0
Wake Forest,0.7272727272727273,0.2202643171806167,S,0.46153846153846156,?,Jessie Bates,0.6481481481481481,0.11627906976744186,College Stats,0.11764705882352927,0.22222222222222213,0
Ohio St.,0.6136363636363636,0.4405286343612334,TE,0.5384615384615384,?,Marcus Baugh\BaugMa01,0.6481481481481481,0.4186046511627907,College Stats,0.3202614379084964,0.39583333333333326,0
San Diego St.,?,?,FB,0.46153846153846156,?,Nick Bawden,?,0.4069767441860465,College Stats,?,?,0
Georgia,?,?,EDGE,0.6923076923076923,0.2894736842105263,Davin Bellamy\BellDa00,?,0.46511627906976744,College Stats,?,?,0
Virginia,0.5227272727272727,0.3832599118942731,QB,0.5384615384615384,0.3157894736842105,Kurt Benkert\BenkKu00,0.5555555555555556,0.25,College Stats,0.41176470588235303,0.2708333333333334,0
Miami,?,?,WR,0.07692307692307693,0.18421052631578946,Braxton Berrios\BerrBr00,?,0.05232558139534884,College Stats,?,?,6th
Washington,0.5,0.4317180616740085,ILB,0.46153846153846156,0.4473684210526316,Keishawn Bierria\BierKe00,0.6481481481481481,0.31976744186046513,College Stats,0.3071895424836601,?,6th
Virginia,0.5454545454545454,?,S,0.46153846153846156,?,Quin Blanding\BlanQu00,0.7407407407407407,0.23255813953488372,College Stats,0.20261437908496716,?,0
Stanford,?,?,OT,0.6923076923076923,?,David Bright\BrigDa00,?,0.7674418604651163,College Stats,?,?,0
