School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
Fresno State,0.6595744680851063,0.3615023474178402,WR,0.6666666666666666,0.27906976744186046,Seyi Ajirotutu\AjirSe00,0.5957446808510638,0.2682926829268293,College Stats,0.21621621621621587,0.2826086956521737,0
LSU,0.425531914893617,0.5117370892018779,DE,0.6666666666666666,?,Rahim Alem,0.40425531914893614,0.4975609756097561,College Stats,0.3175675675675675,0.5797101449275361,0
Missouri,?,?,WR,0.8,?,Danario Alexander\AlexDa00,?,0.32195121951219513,College Stats,0.22972972972972971,?,0
LSU,?,?,DT,0.7333333333333333,?,Charles Alexander,?,0.7365853658536585,College Stats,0.756756756756757,?,0
South Florida,?,?,FS,0.4666666666666667,0.32558139534883723,Nate Allen\AlleNa99,?,0.28292682926829266,College Stats,0.14864864864864852,?,2nd
California,0.6382978723404256,0.32863849765258224,DE,0.6,0.4418604651162791,Tyson Alualu\AluaTy99,0.6170212765957447,0.7121951219512195,College Stats,0.3986486486486487,0.31159420289855055,1st
Nebraska,0.3191489361702128,?,FS,0.5333333333333333,0.13953488372093023,Jonathon Amaya\AmayJo00,0.6595744680851063,0.2634146341463415,College Stats,0.10135135135135102,?,0
Iowa,0.6170212765957447,0.2769953051643192,ILB,0.4666666666666667,0.5581395348837209,Pat Angerer\AngePa99,0.48936170212765956,0.4195121951219512,College Stats,0.29054054054054046,0.21014492753623193,2nd
Oklahoma State,0.48936170212765956,0.436619718309859,SS,0.4666666666666667,0.6046511627906976,Lucien Antoine,0.7021276595744681,0.32195121951219513,College Stats,0.22972972972972971,0.3405797101449274,0
Alabama,?,?,CB,0.26666666666666666,?,Javier Arenas\ArenJa99,0.5319148936170213,0.23414634146341465,College Stats,0.21621621621621587,?,2nd
West Virginia,0.8297872340425532,0.2723004694835681,WR,0.6,?,Alric Arnett,0.7446808510638298,0.1902439024390244,College Stats,0.16216216216216175,0.31159420289855055,0
Illinois,?,?,OG,0.7333333333333333,?,Jon Asamoah\AsamJo20,?,0.7609756097560976,,0.533783783783784,?,3rd
Nebraska,0.723404255319149,0.2582159624413145,SS,0.4666666666666667,0.27906976744186046,Larry Asante\AsanLa99,0.6595744680851063,0.3073170731707317,College Stats,0.22972972972972971,0.12318840579710141,5th
Georgia,0.5319148936170213,0.41314553990610325,DT,0.5333333333333333,0.7441860465116279,Geno Atkins\AtkiGe99,0.6382978723404256,0.7024390243902439,College Stats,0.3175675675675675,0.31159420289855055,4th
Kansas State,0.44680851063829785,0.20187793427230036,WR,0.13333333333333333,?,Brandon Banks\BankBr00,0.5531914893617021,0.0,College Stats,0.06081081081081073,0.21014492753623193,0
Nevada,0.3617021276595745,0.5117370892018779,DE,0.7333333333333333,0.5581395348837209,Kevin Basped,0.3617021276595745,0.5317073170731708,College Stats,0.3175675675675675,0.6376811594202898,0
Utah,?,?,OG,0.7333333333333333,0.5813953488372093,Zane Beadles\BeadZa20,?,0.7853658536585366,College Stats,0.6756756756756759,?,2nd
UNLV,0.8085106382978723,0.30516431924882603,ILB,0.6666666666666666,0.4418604651162791,Jason Beauchamp,0.7021276595744681,0.4634146341463415,College Stats,0.4121621621621619,?,0
Wayne State (MI),0.6808510638297872,0.18309859154929564,RB,0.4,?,Joique Bell\BellJo01,0.7021276595744681,0.3463414634146341,,0.27027027027027,0.12318840579710141,0
Norfolk State,0.6170212765957447,0.1455399061032862,WR,0.6,0.3023255813953488,Chris Bell,0.6382978723404256,0.3024390243902439,,0.14864864864864852,0.25362318840579684,0
Illinois,0.7021276595744681,?,WR,0.5333333333333333,0.4186046511627907,Arrelious Benn\BennAr00,0.6595744680851063,0.34146341463414637,College Stats,0.19594594594594603,?,2nd
Tennessee,0.9574468085106383,0.16431924882629093,FS,0.4666666666666667,0.3953488372093023,Eric Berry\BerrEr99,0.9148936170212766,0.3024390243902439,College Stats,0.08108108108108118,0.166666666666667,1st
California,0.5106382978723404,0.14084507042253513,RB,0.3333333333333333,0.37209302325581395,Jahvid Best\BestJa00,0.5531914893617021,0.24390243902439024,College Stats,0.040540540540540286,0.12318840579710141,1st
LSU,0.2127659574468085,0.9718309859154928,OG,0.7333333333333333,0.4883720930232558,Ciron Black,0.0851063829787234,0.8682926829268293,,0.8445945945945948,0.8188405797101449,0
Oregon,0.6170212765957447,0.18779342723004672,RB,0.4666666666666667,0.37209302325581395,LeGarrette Blount\BlouLe00,0.6382978723404256,0.44878048780487806,College Stats,0.2837837837837838,0.35507246376811613,0
California,0.6595744680851063,0.4225352112676054,WR,0.5333333333333333,0.27906976744186046,Nyan Boateng,0.5319148936170213,0.2682926829268293,College Stats,0.25675675675675674,0.5000000000000003,0
UCLA,0.5106382978723404,0.10328638497652572,OLB,0.5333333333333333,0.5348837209302325,Kyle Bosworth\BoswKy00,0.6382978723404256,0.424390243902439,College Stats,0.2770270270270272,0.07971014492753647,0
Virginia Tech,?,?,P,0.6,?,Brent Bowden,?,0.25853658536585367,College Stats,0.35135135135135115,?,6th
Penn State,0.3829787234042553,0.21596244131455397,OLB,0.4666666666666667,0.5581395348837209,Navorro Bowman\BowmNa99,0.5957446808510638,0.45365853658536587,College Stats,0.2837837837837838,0.4275362318840579,3rd
Oklahoma,?,?,QB,0.7333333333333333,?,Sam Bradford\BradSa00,?,0.424390243902439,College Stats,0.34459459459459457,?,1st
Kansas,0.5319148936170213,0.30516431924882603,WR,0.6,0.16279069767441862,Dezmon Briscoe\BrisDe00,0.5957446808510638,0.28292682926829266,College Stats,0.25675675675675674,0.4130434782608698,6th
James Madison,0.10638297872340426,0.6009389671361504,OG,0.6,0.5581395348837209,Dorian Brooks,0.2765957446808511,0.7658536585365854,,0.587837837837838,0.4782608695652175,0
Troy,0.46808510638297873,0.2910798122065728,QB,0.6666666666666666,0.4186046511627907,Levi Brown\BrowLe00,0.40425531914893614,0.3902439024390244,College Stats,0.439189189189189,0.31159420289855055,7th
West Virginia,0.5957446808510638,0.37089201877934275,QB,0.6666666666666666,?,Jarrett Brown\BrowJa01,0.574468085106383,0.36585365853658536,College Stats,0.14864864864864852,0.2826086956521737,0
