School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
Southern California,0.2894736842105263,0.2099236641221374,RB,0.35714285714285715,0.5333333333333333,Allen Bradford\BradAl00,0.5849056603773585,0.36363636363636365,College Stats,0.14534883720930233,0.3035714285714285,6th
Indiana,0.13157894736842105,0.5419847328244276,OT,0.8571428571428571,0.4666666666666667,James Brewer\BrewJa00,0.33962264150943394,0.7967914438502673,,0.5406976744186046,0.5535714285714285,4th
Wisconsin,0.5263157894736842,0.30916030534351174,CB,0.21428571428571427,0.24444444444444444,Niles Brinkley,0.7169811320754716,0.10160427807486631,College Stats,0.15116279069767433,?,0
Miami (FL),0.5263157894736842,0.0839694656488549,WR,0.35714285714285715,0.17777777777777778,Vincent Brown\BrowVi00,0.7358490566037735,0.06951871657754011,College Stats,0.23255813953488344,0.22023809523809534,3rd
Colorado,0.631578947368421,0.1641221374045801,CB,0.5,0.4444444444444444,Jalil Brown\BrowJa00,0.6415094339622641,0.16042780748663102,College Stats,0.13953488372092987,0.22023809523809534,4th
Southern Miss,0.2894736842105263,0.19465648854961828,WR,0.8571428571428571,0.35555555555555557,DeAndre Brown,0.660377358490566,0.3155080213903743,College Stats,0.18023255813953468,0.267857142857143,0
Texas,0.8421052631578947,0.0648854961832061,CB,0.42857142857142855,0.13333333333333333,Curtis Brown\BrowCu01,0.8679245283018868,0.058823529411764705,College Stats,0.13372093023255788,0.07142857142857151,3rd
Texas,0.6842105263157895,0.030534351145038205,CB,0.35714285714285715,?,Chykie Brown\BrowCh05,0.7169811320754716,0.0855614973262032,College Stats,0.12209302325581395,0.07142857142857151,5th
North Carolina,0.47368421052631576,?,CB,0.21428571428571427,0.2222222222222222,Kendric Burney\BurnKe00,0.5660377358490566,0.06417112299465241,College Stats,0.24999999999999986,?,0
West Texas A&M,0.5789473684210527,0.23664122137404592,WR,0.5,0.3333333333333333,Stephen Burton\BurtSt00,0.660377358490566,0.25133689839572193,,0.1279069767441859,0.2559523809523808,7th
Utah,0.4473684210526316,0.19465648854961828,CB,0.42857142857142855,0.3111111111111111,Brandon Burton\BurtBr00,0.6792452830188679,0.0855614973262032,College Stats,0.1279069767441859,0.11309523809523835,5th
Georgia Tech,0.3684210526315789,0.2557251908396947,CB,0.42857142857142855,?,Mario Butler\ButlMa00,0.7169811320754716,0.0427807486631016,College Stats,0.21511627906976755,0.29166666666666685,0
Southern California,0.7368421052631579,0.152671755725191,TE,0.7857142857142857,0.4222222222222222,Jordan Cameron\CameJo00,0.6981132075471698,0.42780748663101603,College Stats,0.14534883720930233,0.08928571428571451,4th
Florida Atlantic,0.39473684210526316,0.17175572519083981,QB,0.7857142857142857,?,Jeff Van Camp,0.6037735849056604,0.23529411764705882,College Stats,0.3197674418604651,0.16666666666666685,0
TCU,0.3684210526315789,0.6297709923664125,OT,0.7857142857142857,0.6444444444444445,Marcus Cannon\CannMa00,0.4339622641509434,0.983957219251337,College Stats,0.5697674418604649,0.6488095238095238,5th
Wisconsin,0.42105263157894735,?,OT,0.9285714285714286,0.5555555555555556,Gabe Carimi\CariGa00,0.5094339622641509,0.7486631016042781,College Stats,0.5232558139534882,?,1st
Clemson,0.39473684210526316,0.10305343511450403,CB,0.2857142857142857,0.2,Roc Carmichael\CarmRa00,0.6415094339622641,0.0962566844919786,College Stats,0.07558139534883716,0.107142857142857,0
Alabama,?,?,OT,0.7142857142857143,0.4222222222222222,James Carpenter\CarpJa00,?,0.786096256684492,College Stats,0.5465116279069765,?,1st
Oklahoma,0.5789473684210527,0.2404580152671756,FS,0.5,0.4222222222222222,Quinton Carter\CartQu01,0.7358490566037735,0.18181818181818182,College Stats,0.16860465116279075,0.107142857142857,4th
Syracuse,0.7105263157894737,0.19083969465648862,RB,0.21428571428571427,0.5111111111111111,Delone Carter\CartDe01,0.7169811320754716,0.25668449197860965,College Stats,0.15116279069767433,0.11309523809523835,4th
Fresno State,0.6578947368421053,0.1755725190839695,OLB,0.5,0.5111111111111111,Chris Carter\CartCh00,0.6037735849056604,0.39572192513368987,College Stats,0.1744186046511627,0.27380952380952384,5th
North Carolina,?,?,OLB,0.5,0.4666666666666667,Bruce Carter\CartBr00,?,0.3582887700534759,College Stats,0.16860465116279075,?,2nd
Southern California,0.21052631578947367,0.4160305343511451,DT,0.5,0.4888888888888889,Jurrell Casey\CaseJu00,0.3584905660377358,0.6737967914438503,College Stats,0.441860465116279,0.535714285714286,3rd
Boston College,0.3157894736842105,0.31679389312977113,OT,0.9285714285714286,0.5333333333333333,Anthony Castonzo\CastAn00,0.4339622641509434,0.732620320855615,,0.5406976744186046,0.30952380952380987,1st
Georgia,0.631578947368421,0.2709923664122138,FB,0.5714285714285714,0.4222222222222222,Shaun Chapas\ChapSh00,0.6415094339622641,0.39037433155080214,College Stats,0.34302325581395343,0.30952380952380987,7th
Ohio State,0.5789473684210527,?,CB,0.42857142857142855,?,Chimdi Chekwa\ChekCh00,0.8301886792452831,0.09090909090909091,College Stats,0.058139534883720735,?,4th
Oklahoma State,0.23684210526315788,0.24809160305343533,DE,0.7857142857142857,0.4,Ugo Chinasa\ChinUg00,0.660377358490566,0.48128342245989303,College Stats,0.2034883720930231,0.3035714285714285,0
South Carolina,?,?,OG,0.7857142857142857,?,Garrett Chisolm\ChisGa00,?,0.7379679144385026,,0.6279069767441862,?,0
Wisconsin,0.2894736842105263,?,RB,0.42857142857142855,?,John Clay\ClayJo00,0.5471698113207547,0.2994652406417112,College Stats,0.3197674418604651,?,0
Tulsa,0.5263157894736842,0.24809160305343533,FB,0.6428571428571429,0.3111111111111111,Charles Clay\ClayCh00,0.6792452830188679,0.37967914438502676,College Stats,0.23837209302325593,0.160714285714286,6th
Iowa,0.5,0.3358778625954199,DE,0.6428571428571429,?,Adrian Clayborn\ClayAd00,0.5849056603773585,0.5721925133689839,College Stats,0.29069767441860467,0.14880952380952384,1st
Kentucky,0.5263157894736842,0.251908396946565,WR,0.2857142857142857,0.26666666666666666,Randall Cobb\CobbRa00,0.6226415094339622,0.09090909090909091,College Stats,0.10465116279069753,0.27380952380952384,2nd
Fresno State,?,0.1603053435114504,QB,0.6428571428571429,?,Ryan Colburn,?,0.3155080213903743,College Stats,0.4883720930232558,0.23809523809523836,0
California,0.631578947368421,0.2251908396946565,FS,0.5714285714285714,0.3111111111111111,Chris Conte\ContCh00,0.8490566037735849,0.12299465240641712,College Stats,0.13953488372092987,0.18452380952380984,3rd
Miami (FL),?,0.09160305343511461,RB,0.2857142857142857,0.3111111111111111,Graig Cooper,0.6037735849056604,0.1657754010695187,College Stats,0.18604651162790664,0.08928571428571451,0
Georgia,0.6578947368421053,0.18702290076335892,CB,0.2857142857142857,?,Vance Cuff,0.7169811320754716,0.0213903743315508,College Stats,0.14534883720930233,0.125,0
South Carolina,0.7894736842105263,0.1755725190839695,CB,0.42857142857142855,?,Chris Culliver\CullCh00,0.7735849056603774,0.13368983957219252,College Stats,0.04651162790697679,0.11904761904761918,3rd
TCU,0.3157894736842105,0.19465648854961828,QB,0.5714285714285714,?,Andy Dalton\DaltAn00,0.4528301886792453,0.2192513368983957,College Stats,0.3197674418604651,0.23214285714285698,2nd
TCU,0.07894736842105263,0.5305343511450382,OLB,0.42857142857142855,?,Wayne Daniels,0.4528301886792453,0.45989304812834225,College Stats,0.43604651162790703,0.47619047619047616,0
Alabama,0.18421052631578946,0.5381679389312979,DT,0.6428571428571429,0.4444444444444444,Marcell Dareus\DareMa00,?,0.7754010695187166,College Stats,0.3779069767441858,0.4404761904761907,1st
Georgia,0.02631578947368421,0.5954198473282446,OT,0.9285714285714286,?,Josh Davis,0.16981132075471697,0.7433155080213903,,0.7093023255813953,0.7083333333333337,0
Michigan State,?,?,WR,0.42857142857142855,0.2222222222222222,Mark Dell\DellMa00,?,0.10160427807486631,College Stats,0.15116279069767433,?,0
Georgia,0.7368421052631579,?,ILB,0.5,0.4444444444444444,Akeem Dent\DentAk00,0.7735849056603774,0.36363636363636365,College Stats,0.2616279069767443,?,3rd
West Virginia,?,?,RB,0.07142857142857142,0.4444444444444444,Noel Devine,?,0.026737967914438502,College Stats,0.08720930232558109,?,0
Delaware,0.5,0.251908396946565,QB,0.6428571428571429,?,Pat Devlin\DevlPa00,0.6415094339622641,0.2727272727272727,,0.3081395348837206,0.2619047619047622,0
Georgia,0.39473684210526316,0.3053435114503817,DE,0.5714285714285714,?,Demarcus Dobbs\DobbDe00,0.4716981132075472,0.5721925133689839,College Stats,0.34302325581395343,0.29166666666666685,0
Arkansas,0.21052631578947367,0.50381679389313,OG,0.7142857142857143,0.37777777777777777,Ray Dominguez\DomiRa00,0.1509433962264151,0.8556149732620321,College Stats,0.680232558139535,0.6071428571428575,0
Iowa,?,?,P,0.5714285714285714,?,Ryan Donahue\DonaRy00,?,0.10160427807486631,College Stats,0.3604651162790699,?,0
Indiana,?,?,WR,0.5714285714285714,0.2222222222222222,Tandon Doss\DossTa00,?,0.1443850267379679,College Stats,0.1976744186046511,?,4th
Virginia,?,?,CB,0.5,0.3333333333333333,Ras-I Dowling\DowlRa00,?,0.12834224598930483,College Stats,0.06976744186046518,?,2nd
North Carolina,0.5526315789473685,0.2786259541984735,RB,0.35714285714285715,0.37777777777777777,Shaun Draughn\DrauSh00,0.6792452830188679,0.20855614973262032,College Stats,0.2616279069767443,0.1904761904761907,0
