School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
Virginia,0.13333333333333333,0.7821229050279328,OT,0.7857142857142857,0.4,Oday Aboushi\AbouOd00,0.23529411764705882,0.6965174129353234,College Stats,0.826086956521739,0.6993006993006995,5th
Michigan State,?,?,CB,0.2857142857142857,0.37142857142857144,Johnny Adams\AdamJo02,?,0.0845771144278607,College Stats,0.1521739130434788,?,0
Southeastern Louisiana,0.8666666666666667,0.2067039106145251,CB,0.2857142857142857,0.4,Robert Alford\AlfoRo00,0.8627450980392157,0.09950248756218906,,0.08695652173913046,0.2727272727272732,2nd
North Carolina State,?,?,OG,0.5714285714285714,0.8285714285714286,Zach Allen\AlleZa00,?,0.8159203980099502,,0.8405797101449272,?,0
Louisiana Tech,?,?,P,0.5,?,Ryan Allen\AlleRy01,?,0.3034825870646766,College Stats,0.5144927536231887,?,0
California,?,?,WR,0.5714285714285714,?,Keenan Allen\AlleKe00,?,0.1890547263681592,College Stats,0.2246376811594205,?,3rd
Oregon,?,?,ILB,0.6428571428571429,?,Kiko Alonso\AlonKi00,?,0.3482587064676617,College Stats,0.3405797101449278,?,2nd
North Carolina State,0.6666666666666666,?,CB,0.5,0.34285714285714286,David Amerson\AmerDa00,0.7647058823529411,0.18407960199004975,College Stats,0.12318840579710197,?,2nd
California,0.5111111111111111,0.35195530726257007,RB,0.14285714285714285,0.4,C.J. Anderson\AndeC.00,0.6078431372549019,0.27860696517412936,College Stats,0.23913043478260862,0.19580419580419603,0
BYU,0.6222222222222222,0.3296089385474863,DE,0.7857142857142857,0.5142857142857142,Ziggy Ansah\AnsaEz00,0.5882352941176471,0.5124378109452736,College Stats,0.2101449275362318,0.2937062937062937,1st
California,0.6444444444444445,0.1229050279329612,CB,0.35714285714285715,0.2571428571428571,Marc Anthony\AnthMa00,0.5882352941176471,0.13930348258706468,College Stats,0.2608695652173914,0.16083916083916117,7th
Arkansas-Pine Bluff,0.6222222222222222,0.6145251396648045,OT,0.7857142857142857,0.8,Terron Armstead\ArmsTe00,0.47058823529411764,0.6865671641791045,,0.318840579710145,0.6153846153846154,3rd
West Virginia,0.5111111111111111,?,WR,0.14285714285714285,0.3142857142857143,Tavon Austin\AustTa00,0.6274509803921569,0.029850746268656716,College Stats,0.0507246376811596,0.11888111888111885,1st
UCLA,0.26666666666666666,0.4134078212290502,OG,0.6428571428571429,?,Jeff Baca\BacaJe00,0.23529411764705882,0.6666666666666666,,0.5507246376811596,0.41958041958042,6th
West Virginia,0.6222222222222222,0.16201117318435748,WR,0.2857142857142857,0.22857142857142856,Stedman Bailey\BailSt01,0.5686274509803921,0.12437810945273632,College Stats,0.18115942028985496,0.17482517482517487,3rd
Arkansas,?,?,OG,0.6428571428571429,0.6857142857142857,Alvin Bailey\BailAl01,?,0.7164179104477612,College Stats,0.49275362318840593,?,0
Colorado,0.2222222222222222,0.659217877094972,OT,0.7142857142857143,0.7142857142857143,David Bakhtiari\BakhDa00,0.2549019607843137,0.6517412935323383,,0.6594202898550722,0.6293706293706297,4th
Wisconsin,0.5111111111111111,0.20111731843575426,RB,0.2857142857142857,0.34285714285714286,Montee Ball\BallMo00,0.5882352941176471,0.22885572139303484,College Stats,0.28260869565217417,0.39160839160839206,2nd
Mississippi State,0.6,0.2513966480446927,CB,0.5714285714285714,0.2,Johnthan Banks\BankJo00,0.7254901960784313,0.0845771144278607,College Stats,0.2463768115942033,0.30069930069930056,2nd
Nevada,0.3111111111111111,0.8770949720670388,OG,0.6428571428571429,0.7428571428571429,Chris Barker\BarkCh00,0.21568627450980393,0.681592039800995,,0.7101449275362318,0.6503496503496503,0
Southern California,?,?,QB,0.5714285714285714,?,Matt Barkley\BarkMa00,?,0.2935323383084577,College Stats,0.46376811594202916,?,4th
Oregon,0.6666666666666666,0.19553072625698345,RB,0.21428571428571427,0.4857142857142857,Kenjon Barner\BarnKe00,0.6666666666666666,0.13930348258706468,College Stats,0.18115942028985496,0.251748251748252,6th
Georgia Tech,0.06666666666666667,0.9720670391061449,DT,0.8571428571428571,0.6285714285714286,T.J. Barnes\BarnT.00,0.17647058823529413,1.0,College Stats,0.7463768115942027,0.7832167832167835,0
South Florida,0.5333333333333333,?,ILB,0.5,0.5428571428571428,Sam Barrington\BarrSa00,0.5686274509803921,0.3880597014925373,College Stats,0.46376811594202916,?,7th
Missouri Western,0.4444444444444444,0.30726256983240247,DE,0.7142857142857143,0.4857142857142857,David Bass\BassDa00,0.45098039215686275,0.46766169154228854,,0.4130434782608695,0.3426573426573429,7th
Rutgers,0.5555555555555556,0.26256983240223486,ILB,0.5,0.45714285714285713,Steve Beauharnais\BeauSt00,0.5882352941176471,0.3582089552238806,College Stats,0.4130434782608695,0.251748251748252,7th
Virginia Tech,0.4,0.6983240223463684,OT,0.7857142857142857,0.45714285714285713,Nick Becton\BectNi00,0.4117647058823529,0.7711442786069652,,0.673913043478261,0.5104895104895109,0
Michigan State,0.4888888888888889,0.128491620111732,RB,0.5,0.6,LeVeon Bell\BellLe00,0.5882352941176471,0.30845771144278605,College Stats,0.23913043478260862,0.27972027972028,2nd
North Carolina,0.5777777777777777,0.21787709497206725,RB,0.14285714285714285,0.45714285714285713,Giovani Bernard\BernGi00,0.6666666666666666,0.1691542288557214,College Stats,0.18840579710144967,0.19580419580419603,2nd
Wake Forest,0.6444444444444445,0.418994413407821,FB,0.5,0.9428571428571428,Tommy Bohanon\BohaTo00,0.6078431372549019,0.3880597014925373,College Stats,0.44202898550724634,0.40559440559440574,7th
North Carolina,0.08888888888888889,0.7430167597765359,OG,0.8571428571428571,0.5428571428571428,Travis Bond\BondTr00,0.19607843137254902,0.8009950248756219,College Stats,0.7246376811594198,0.7832167832167835,7th
Jacksonville State,0.5555555555555556,?,WR,0.2857142857142857,0.3142857142857143,Alan Bonner\BonnAl00,0.5686274509803921,0.12437810945273632,,0.23188405797101458,0.2167832167832172,6th
Ohio State,0.5111111111111111,0.42458100558659234,FB,0.35714285714285715,0.6285714285714286,Zach Boren\BoreZa00,0.4117647058823529,0.3482587064676617,College Stats,0.5289855072463768,0.41958041958042,0
Florida,0.5333333333333333,0.26256983240223486,OLB,0.5,0.5428571428571428,Jon Bostic\BostJo00,0.5882352941176471,0.38308457711442784,College Stats,0.23188405797101458,0.27972027972028,2nd
TCU,0.6,0.08938547486033523,WR,0.35714285714285715,0.5428571428571428,Josh Boyce\BoycJo00,0.8431372549019608,0.1890547263681592,College Stats,0.07971014492753642,0.1818181818181817,4th
Mississippi State,0.26666666666666666,0.3575418994413409,DT,0.6428571428571429,0.8285714285714286,Josh Boyd\BoydJo00,0.3137254901960784,0.7064676616915423,College Stats,0.6304347826086953,0.5594405594405595,5th
Oregon,?,?,FS,0.2857142857142857,0.6857142857142857,John Boyett\BoyeJo00,?,0.1791044776119403,College Stats,0.2681159420289854,?,6th
Tennessee,?,0.37988826815642474,QB,0.8571428571428571,?,Tyler Bray\BrayTy00,0.23529411764705882,0.31840796019900497,College Stats,0.5652173913043477,0.4685314685314686,0
Arkansas,0.37777777777777777,?,P,0.5,0.22857142857142856,Dylan Breeding,0.43137254901960786,0.22388059701492538,College Stats,0.3405797101449278,?,0
Georgia,?,?,WR,0.7142857142857143,?,Marlon Brown\BrowMa00,?,0.22388059701492538,College Stats,0.2608695652173914,?,0
BYU,0.3333333333333333,0.5083798882681563,OT,0.7857142857142857,0.6571428571428571,Braden Brown\BrowBr03,0.23529411764705882,0.7064676616915423,College Stats,0.673913043478261,0.6013986013986018,0
Kansas State,?,?,OLB,0.42857142857142855,?,Arthur Brown\BrowAr00,0.5490196078431373,0.36318407960199006,College Stats,0.25362318840579734,?,2nd
East Central (OK),0.4888888888888889,0.4469273743016761,DE,0.7142857142857143,?,Armonty Bryant\BryaAr00,0.5882352941176471,0.472636815920398,,0.42753623188405826,0.8111888111888115,7th
