zscore_Shuttle,zscore_3Cone,School,zscore_Bench,Vertical,3Cone,zscore_Broad Jump,zscore_Wt,Pos,Ht,Bench,Player,Broad Jump,Wt,College,zscore_Ht,40yd,Shuttle,zscore_Vertical,zscore_40yd,Drafted
?,?,Washington,?,?,?,?,-0.17729041292889508,WR,0.4117647058823529,?,Dante Pettis\PettDa00,?,0.16818181818181818,College Stats,1.6434448731275642,?,?,?,?,1
?,?,Rutgers,?,?,?,?,1.3124810014971595,EDGE,0.7058823529411765,?,Kemoko Turay\TuraKe00,?,0.4727272727272727,College Stats,3.5316197825043965,0.24157303370786548,?,?,0.42145451039229953,1
?,?,Notre Dame,1.4729123260081978,?,?,?,0.4230652316905598,RB,0.5294117647058824,0.3404255319148936,Josh Adams\AdamJo03,?,0.2909090909090909,College Stats,2.398714836878297,?,?,?,?,0

0.7800130895951143,1.2831082799653786,Toledo,2.7093684890122964,0.509090909090909,0.3369565217391305,?,1.201304030271335,EDGE,0.5294117647058824,0.5106382978723404,Ola Adeniyi,?,0.45,,2.398714836878297,0.34269662921348326,0.26857142857142874,2.2854133144672533,1.0164819798588416,0

?,?,Central Florida,?,?,?,?,1.2235394245164997,TE,0.5882352941176471,?,Jordan Akins\AkinJo00,?,0.45454545454545453,College Stats,2.7763498187536633,?,?,?,?,1
-0.35616547823155487,0.05563071009151876,Louisville,0.8546842445061482,0.6363636363636364,0.15579710144927533,4.275011972151224,-0.04387804745790504,CB,0.35294117647058826,0.2553191489361702,Jaire Alexander\AlexJa00,0.7101449275362319,0.19545454545454546,College Stats,1.265809891252198,0.08988764044943827,0.09714285714285713,3.1067666430840672,-0.4710866938075167,1
1.5374654681462274,1.2094596257729464,Arkansas,?,0.43636363636363634,0.3260869565217391,2.660212388839625,0.3563590489550649,QB,0.4117647058823529,?,Austin Allen,0.4927536231884058,0.2772727272727273,College Stats,1.6434448731275642,0.33146067415730324,0.3828571428571432,1.8160685552576459,0.9503678165847798,0

2.408535703480004,2.7560813638140096,Michigan St.,2.863925509387809,0.32727272727272727,0.5543478260869565,1.260719416636239,2.3130737425295846,C,0.47058823529411764,0.5319148936170213,Brian Allen\AlleBr02,0.30434782608695654,0.6772727272727272,College Stats,2.0210798550029305,0.6292134831460674,0.5142857142857143,1.1120514164432345,2.70239314334738,1
1.2344845167257823,0.5220721866435865,Wyoming,?,0.5818181818181818,0.22463768115942043,3.413785527718371,0.95671469357452,QB,0.7058823529411765,?,Josh Allen\AlleJo02,0.5942028985507246,0.4,College Stats,3.5316197825043965,0.29775280898876416,0.3371428571428574,2.7547580736768613,0.7520253267626001,1
0.9315035653053371,?,Penn St.,1.0092412648816609,0.7090909090909091,?,4.275011972151224,0.1784758949937449,S,0.5294117647058824,0.2765957446808511,Marcus Allen,0.7101449275362319,0.2409090909090909,College Stats,2.398714836878297,?,0.29142857142857165,3.576111402293675,?,0

1.158739278870669,1.6022524481325815,Oklahoma,1.3183553056326855,0.4909090909090909,0.38405797101449274,2.767865694393732,1.3791871842326549,TE,0.7058823529411765,0.3191489361702128,Mark Andrews\AndrMa00,0.5072463768115942,0.4863636363636364,College Stats,3.5316197825043965,0.252808988764045,0.3257142857142857,2.168077124664852,0.4875686736663584,1
-0.1668023835937758,-0.3126125608706401,Penn St.,1.163798285257173,0.8545454545454545,0.10144927536231865,4.70562519436765,0.08953431801308487,S,0.5294117647058824,0.2978723404255319,Troy Apke,0.7681159420289855,0.22272727272727272,College Stats,2.398714836878297,0.0674157303370787,0.12571428571428586,4.51480092071289,-0.6033150203556376,0

0.5906499949573369,1.062162317388084,Kansas,1.7820263667592227,0.45454545454545453,0.3043478260869566,3.3061322221642646,1.4014225784778196,EDGE,0.6470588235294118,0.3829787234042553,Dorance Armstrong,0.5797101449275363,0.4909090909090909,,3.1539848006290296,0.36516853932584287,0.24000000000000027,1.933404745060048,1.1487103064069626,0

1.5374654681462274,2.068693924684649,Tulane,1.4729123260081978,0.7636363636363637,0.45289855072463786,4.382665277705331,1.512599549703645,DE,0.7647058823529411,0.3404255319148936,Ade Aruna\ArunAd00,0.7246376811594203,0.5136363636363637,College Stats,3.9092547643797615,0.21348314606741564,0.3828571428571432,3.928119971700881,0.2561691022071463,1
0.6663952328124465,0.9394145604006984,Oklahoma St.,0.7001272241306361,0.6,0.2862318840579711,3.6290921388265844,0.489771414426055,WR,0.6470588235294118,0.23404255319148937,Marcell Ateman\AtemMa00,0.6231884057971014,0.30454545454545456,College Stats,3.1539848006290296,0.22471910112359567,0.25142857142857145,2.8720942634792634,0.3222832654812081,1
2.560026179190227,3.0997750833786917,Georgia,?,0.23636363636363636,0.6050724637681162,0.18418636109517267,2.82448781016838,DT,0.6470588235294118,?,John Atkins,0.15942028985507245,0.7818181818181819,College Stats,3.1539848006290296,0.651685393258427,0.5371428571428573,0.525370467431225,2.834621469895501,0

1.2344845167257823,0.5957208408360164,Alabama,0.7001272241306361,0.509090909090909,0.2355072463768115,3.413785527718371,-0.19952580717406007,CB,0.4117647058823529,0.23404255319148937,Anthony Averett\AverAn00,0.5942028985507246,0.16363636363636364,College Stats,1.6434448731275642,0.07865168539325873,0.3371428571428574,2.2854133144672533,-0.5372008570815757,1
1.0829940410155594,0.5220721866435865,Memphis,2.7093684890122964,0.6727272727272727,0.22463768115942043,3.9520520554889043,1.201304030271335,ILB,0.47058823529411764,0.5106382978723404,Genard Avery,0.6666666666666666,0.45,College Stats,2.0210798550029305,0.20786516853932588,0.3142857142857145,3.341439022688871,0.22311202057011684,0

